Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07063346928119E+01,2.29007241024629E+01,2.41161292169548E+01,2.55151533581801E+01,2.68427263915233E+01,2.88922027725341E+01,3.42866933638551E+01,3.37447271686286E+01,3.71837831945074E+01,4.05221435409336E+01,4.08431763192393E+01,
Least developed countries: UN classification,LDC,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24928003272672E-01,2.25250758313934E-01,5.50078731878889E-01,1.02706748528704E+00,1.36117064881414E+00,1.52616757031914E+00,2.23494646898541E+00,3.02496003406816E+00,3.72990412030728E+00,4.29844765116913E+00,4.32971856501318E+00,
Low & middle income,LMY,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03742522785143E+00,4.80535835853316E+00,8.03128623627265E+00,1.14468705570687E+01,1.18988804640676E+01,1.43515320914149E+01,1.18858858289359E+01,1.18428506886137E+01,1.29452800355871E+01,1.95399416535235E+01,2.52383378982449E+01,
Low income,LIC,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.09541019284843E-01,6.53115502036546E-01,1.40146171271576E+00,1.56373839840489E+00,1.95416552956561E+00,3.80870288609473E+00,3.13865219874768E+00,
Lower middle income,LMC,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.16592934225425E+00,2.30923188246603E+00,3.50639704085310E+00,4.93794506637233E+00,6.34220119095833E+00,8.18865897676082E+00,8.55589810428673E+00,9.66936949729383E+00,1.12598668695658E+01,1.32030196501509E+01,1.80749843366192E+01,
Middle East & North Africa,MEA,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.45533312730734E+00,9.76658944748345E+00,9.66691924200869E+00,1.42814222095067E+01,1.64998260667327E+01,1.85228828036225E+01,2.06833754589970E+01,2.17419740855687E+01,2.33364847024194E+01,2.80962767244242E+01,4.43368260642393E+01,
Middle East & North Africa (excluding high income),MNA,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.17742615804632E+00,3.55564803926330E+00,6.30935470834760E+00,1.05552024594048E+01,9.28176235003409E+00,1.12089274397055E+01,1.20949816497176E+01,1.30337266788173E+01,1.44684692680452E+01,2.14441476228534E+01,2.58253228848899E+01,
Middle East & North Africa (IDA & IBRD countries),TMN,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.17742615804632E+00,3.55564803926330E+00,4.58742318042255E+00,9.67429025074892E+00,6.72755515625109E+00,8.00854310845097E+00,9.01613200928487E+00,9.65157550147157E+00,1.08094401299776E+01,2.33483535921832E+01,2.91622368304348E+01,
Middle income,MIC,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.38501923384902E+00,8.75198760335591E+00,1.01332763430762E+01,1.41125094284341E+01,1.64998260667327E+01,1.84624559871479E+01,2.06833754589970E+01,2.37913401414830E+01,2.77293368431083E+01,3.05421596456485E+01,3.48685963336860E+01,
North America,NAC,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74833956478080E+02,1.83266710163028E+02,1.86336391932197E+02,1.92359071623737E+02,1.92372901079073E+02,1.94598700435434E+02,2.18177153264113E+02,2.07562953124790E+02,2.03326609651075E+02,2.21259251958937E+02,2.22274268626632E+02,
Not classified,INX,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.15295656825453E+01,7.43264977195585E+01,7.99125463400057E+01,8.69305596357997E+01,8.85787716241706E+01,9.19245448940953E+01,9.10296385412800E+01,8.88052894883409E+01,8.50581006053379E+01,8.52253807171489E+01,7.70814711150920E+01,
Other small states,OSS,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27146510749632E+01,1.58490178620935E+01,1.65407366810838E+01,3.20815621423936E+01,2.93094767427100E+01,3.37269031768289E+01,3.01982042073496E+01,2.79889449353742E+01,2.75688354936701E+01,2.90225646719483E+01,4.47501555737195E+01,
Pacific island small states,PSS,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
