Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Middle East & North Africa (IDA & IBRD countries),TMN,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.82000000000000E+00,2.68181818181818E+00,3.14545454545455E+00,4.17272727272727E+00,4.50000000000000E+00,5.78181818181818E+00,5.60000000000000E+00,7.30909090909091E+00,7.27500000000000E+00,9.00833333333333E+00,9.60000000000000E+00,1.00750000000000E+01
Middle income,MIC,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81794871794872E+00,2.89333333333333E+00,3.52087912087912E+00,4.27582417582418E+00,5.63956043956044E+00,7.26195652173913E+00,8.36847826086956E+00,9.37934782608696E+00,1.04000000000000E+01,1.14621359223301E+01,1.17485436893204E+01,1.34611650485437E+01
North America,NAC,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Not classified,INX,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.19000000000000E+00,7.29000000000000E+00,7.81935483870968E+00,8.10967741935484E+00,8.75806451612903E+00,9.28387096774193E+00,9.36129032258065E+00,1.14258064516129E+01,1.22903225806452E+01,1.17323529411765E+01,1.29264705882353E+01,1.33911764705882E+01
Other small states,OSS,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77000000000000E+00,1.88421052631579E+00,2.19047619047619E+00,2.33043478260870E+00,3.86250000000000E+00,4.72083333333333E+00,5.94166666666667E+00,7.31200000000000E+00,8.40769230769231E+00,1.09923076923077E+01,1.05653846153846E+01,1.34923076923077E+01
Pacific island small states,PSS,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Post-demographic dividend,PST,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.32333333333333E+00,6.60000000000000E+00,7.16875000000000E+00,7.71250000000000E+00,8.47812500000000E+00,1.03468750000000E+01,1.12343750000000E+01,1.30823529411765E+01,1.44264705882353E+01,1.43722222222222E+01,1.45638888888889E+01,1.48777777777778E+01
Pre-demographic dividend,PRE,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68965517241379E-01,8.66666666666667E-01,9.41176470588235E-01,7.94117647058823E-01,1.04411764705882E+00,9.94117647058824E-01,9.35294117647059E-01,1.27647058823529E+00,1.50571428571429E+00,1.67777777777778E+00,1.86944444444444E+00,2.02222222222222E+00
Small states,SST,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.42857142857143E-01,9.17948717948718E-01,1.12195121951220E+00,1.21818181818182E+00,2.06000000000000E+00,2.51777777777778E+00,3.16888888888889E+00,3.88936170212766E+00,4.55416666666667E+00,5.95416666666667E+00,5.72291666666667E+00,7.30833333333333E+00
