_2012,Country_Name
4.45625600000000E+01,Tuvalu
4.72625600000000E+01,Namibia
5.23625600000000E+01,Myanmar
5.32400000000000E+01,Botswana
5.32625600000000E+01,Djibouti
5.37000000000000E+01,Cameroon
5.56000000000000E+01,Nigeria
5.58000000000000E+01,Cote d'Ivoire
5.65000000000000E+01,Senegal
5.93289100000000E+01,American Samoa
5.93289100000000E+01,Fiji
5.93289100000000E+01,French Polynesia
5.93289100000000E+01,Guam
5.93289100000000E+01,Kiribati
5.93289100000000E+01,Marshall Islands
5.93289100000000E+01,New Caledonia
5.93289100000000E+01,Palau
5.96000000000000E+01,Bangladesh
6.04625600000000E+01,Sao Tome and Principe
6.06067200000000E+01,Guinea-Bissau
6.40625600000000E+01,Ghana
6.60000000000000E+01,Equatorial Guinea
6.93000000000000E+01,Comoros
7.00000000000000E+01,Lao PDR
7.05625600000000E+01,Cabo Verde
7.55625600000000E+01,Bhutan
7.59057500000000E+01,St. Vincent and the Grenadines
7.61613800000000E+01,Brunei Darussalam
7.63000000000000E+01,Nepal
7.79000000000000E+01,Nicaragua
7.85000000000000E+01,Guatemala
7.87000000000000E+01,India
7.94667700000000E+01,Guyana
8.22000000000000E+01,Honduras
8.54000000000000E+01,South Africa
8.75000000000000E+01,Philippines
8.86625600000000E+01,Sri Lanka
8.93000000000000E+01,Gabon
8.97625600000000E+01,Mongolia
9.05000000000000E+01,Bolivia
9.08754400000000E+01,Antigua and Barbuda
9.08754400000000E+01,Aruba
9.08754400000000E+01,Barbados
9.08754400000000E+01,Cayman Islands
9.08754400000000E+01,Curacao
9.08754400000000E+01,Grenada
9.08754400000000E+01,Panama
9.08754400000000E+01,Puerto Rico
9.08754400000000E+01,St. Kitts and Nevis
9.08754400000000E+01,St. Lucia
9.08754400000000E+01,St. Martin (French part)
9.08754400000000E+01,Turks and Caicos Islands
9.08754400000000E+01,Virgin Islands (U.S.)
9.12000000000000E+01,Peru
9.26334400000000E+01,Jamaica
9.26667600000000E+01,Dominica
9.36000000000000E+01,Pakistan
9.37000000000000E+01,El Salvador
9.58625600000000E+01,Tonga
9.60000000000000E+01,Indonesia
9.62625600000000E+01,Syrian Arab Republic
9.70000000000000E+01,Colombia
9.72000000000000E+01,Ecuador
9.76978300000000E+01,Bahrain
9.76978300000000E+01,Kuwait
9.76978300000000E+01,Oman
9.76978300000000E+01,Qatar
9.76978300000000E+01,Saudi Arabia
9.76978300000000E+01,United Arab Emirates
9.76978300000000E+01,West Bank and Gaza
9.80000000000000E+01,Dominican Republic
9.82000000000000E+01,Paraguay
9.90000000000000E+01,Vietnam
9.91000000000000E+01,Mexico
9.95000000000000E+01,Brazil
9.95000000000000E+01,Costa Rica
9.95000000000000E+01,Jordan
9.95000000000000E+01,Uruguay
9.96000000000000E+01,Chile
9.98000000000000E+01,Argentina
9.98278000000000E+01,Trinidad and Tobago
